census_tract_id,census_tract_label,total_crimes,crime_vehicle___stolen,crime_battery___simple_ass,crime_burglary_from_vehicl,crime_theft_of_identity,crime_vandalism___felony_(,crime_burglary,crime_theft_plain___petty_,crime_assault_with_deadly_,crime_intimate_partner___s,crime_theft_from_motor_veh
220000.0,2200.0,1130,157.0,61.0,62.0,110.0,88.0,87.0,33.0,59.0,48.0,45.0
220100.0,2201.0,1388,105.0,82.0,82.0,49.0,53.0,73.0,56.0,74.0,39.0,40.0
221110.0,2211.1,745,85.0,112.0,24.0,44.0,59.0,33.0,34.0,70.0,41.0,26.0
221120.0,2211.2,637,84.0,68.0,22.0,28.0,37.0,20.0,20.0,38.0,36.0,26.0
221210.0,2212.1,938,126.0,110.0,48.0,33.0,58.0,51.0,39.0,64.0,40.0,45.0
221220.0,2212.2,864,117.0,82.0,35.0,26.0,52.0,59.0,39.0,53.0,61.0,40.0
221302.0,2213.02,978,123.0,104.0,39.0,30.0,57.0,48.0,67.0,50.0,41.0,42.0
221303.0,2213.03,661,90.0,78.0,25.0,31.0,31.0,37.0,26.0,31.0,47.0,34.0
221304.0,2213.04,683,83.0,64.0,22.0,48.0,25.0,74.0,44.0,31.0,46.0,26.0
221401.0,2214.01,917,137.0,77.0,38.0,71.0,53.0,31.0,55.0,50.0,54.0,28.0
221402.0,2214.02,733,125.0,60.0,50.0,39.0,53.0,28.0,30.0,37.0,42.0,41.0
221500.0,2215.0,687,112.0,46.0,42.0,50.0,47.0,17.0,20.0,35.0,52.0,37.0
221601.0,2216.01,968,141.0,120.0,36.0,34.0,49.0,29.0,58.0,76.0,33.0,38.0
221602.0,2216.02,827,141.0,72.0,46.0,28.0,55.0,29.0,26.0,46.0,52.0,40.0
221710.0,2217.1,865,125.0,55.0,38.0,30.0,48.0,47.0,79.0,32.0,27.0,43.0
221810.0,2218.1,603,61.0,43.0,23.0,19.0,30.0,28.0,55.0,34.0,20.0,30.0
221820.0,2218.2,678,67.0,24.0,28.0,16.0,31.0,49.0,77.0,10.0,13.0,28.0
221900.0,2219.0,1654,129.0,62.0,49.0,41.0,53.0,50.0,220.0,47.0,25.0,35.0
222001.0,2220.01,579,92.0,42.0,18.0,44.0,36.0,27.0,18.0,54.0,31.0,20.0
222002.0,2220.02,762,98.0,63.0,26.0,62.0,62.0,18.0,28.0,49.0,58.0,33.0
222100.0,2221.0,816,133.0,63.0,24.0,50.0,45.0,35.0,36.0,60.0,45.0,50.0
222200.0,2222.0,943,176.0,83.0,38.0,59.0,49.0,22.0,29.0,80.0,44.0,46.0
222500.0,2225.0,1599,175.0,134.0,50.0,93.0,82.0,47.0,96.0,117.0,73.0,63.0
222600.0,2226.0,1859,219.0,104.0,88.0,67.0,96.0,109.0,149.0,94.0,96.0,96.0
222700.0,2227.0,2583,191.0,155.0,60.0,23.0,70.0,70.0,370.0,72.0,27.0,49.0
224010.0,2240.1,3067,435.0,293.0,443.0,71.0,244.0,187.0,123.0,165.0,88.0,71.0
224020.0,2240.2,3643,525.0,218.0,396.0,235.0,243.0,175.0,135.0,210.0,93.0,89.0
224200.0,2242.0,681,109.0,63.0,37.0,42.0,43.0,36.0,21.0,47.0,44.0,30.0
224310.0,2243.1,522,64.0,84.0,16.0,19.0,30.0,18.0,17.0,29.0,24.0,22.0
224320.0,2243.2,651,98.0,65.0,14.0,40.0,36.0,22.0,44.0,57.0,42.0,24.0
224410.0,2244.1,1224,160.0,80.0,63.0,57.0,71.0,83.0,87.0,39.0,55.0,58.0
224420.0,2244.2,590,77.0,51.0,24.0,19.0,45.0,38.0,26.0,41.0,29.0,14.0
224600.0,2246.0,1810,316.0,125.0,136.0,169.0,117.0,126.0,61.0,123.0,66.0,58.0
224701.0,2247.01,537,50.0,26.0,25.0,7.0,18.0,40.0,50.0,22.0,7.0,15.0
224702.0,2247.02,1599,154.0,155.0,59.0,23.0,92.0,55.0,135.0,66.0,37.0,43.0
226001.0,2260.01,2796,451.0,183.0,372.0,51.0,195.0,251.0,126.0,162.0,75.0,78.0
226002.0,2260.02,6081,882.0,425.0,863.0,78.0,415.0,517.0,240.0,456.0,131.0,202.0
226410.0,2264.1,809,114.0,101.0,21.0,54.0,70.0,14.0,21.0,74.0,49.0,33.0
226420.0,2264.2,1195,227.0,116.0,40.0,78.0,61.0,32.0,39.0,91.0,63.0,66.0
226701.0,2267.01,523,123.0,33.0,15.0,17.0,30.0,20.0,17.0,37.0,29.0,26.0
226702.0,2267.02,1083,176.0,60.0,35.0,60.0,53.0,50.0,56.0,56.0,30.0,46.0
227010.0,2270.1,1057,190.0,92.0,20.0,67.0,56.0,67.0,31.0,87.0,61.0,52.0
227020.0,2270.2,612,129.0,52.0,20.0,35.0,38.0,24.0,25.0,53.0,35.0,34.0
228100.0,2281.0,1031,180.0,105.0,27.0,71.0,64.0,51.0,43.0,81.0,57.0,40.0
228210.0,2282.1,938,148.0,69.0,24.0,56.0,63.0,27.0,31.0,45.0,72.0,28.0
228220.0,2282.2,554,74.0,64.0,11.0,50.0,34.0,13.0,14.0,38.0,52.0,15.0
228310.0,2283.1,1088,190.0,77.0,36.0,54.0,73.0,33.0,20.0,112.0,79.0,36.0
228320.0,2283.2,583,125.0,75.0,17.0,37.0,28.0,14.0,16.0,51.0,32.0,21.0
228410.0,2284.1,689,150.0,63.0,17.0,47.0,36.0,17.0,19.0,57.0,50.0,25.0
228420.0,2284.2,619,114.0,56.0,17.0,43.0,48.0,14.0,15.0,46.0,49.0,23.0
228500.0,2285.0,1282,197.0,145.0,32.0,73.0,61.0,26.0,35.0,140.0,99.0,40.0
228600.0,2286.0,1359,204.0,148.0,33.0,70.0,87.0,54.0,58.0,100.0,104.0,45.0
228710.0,2287.1,278,34.0,38.0,3.0,38.0,21.0,6.0,7.0,19.0,20.0,6.0
228720.0,2287.2,1026,150.0,99.0,17.0,90.0,55.0,52.0,24.0,72.0,84.0,32.0
228800.0,2288.0,1184,173.0,103.0,51.0,91.0,83.0,35.0,34.0,126.0,61.0,37.0
228900.0,2289.0,634,95.0,44.0,11.0,75.0,50.0,22.0,20.0,51.0,40.0,31.0
229100.0,2291.0,1005,156.0,103.0,21.0,97.0,55.0,58.0,29.0,79.0,59.0,42.0
229200.0,2292.0,1320,230.0,156.0,32.0,92.0,73.0,40.0,42.0,106.0,106.0,39.0
229300.0,2293.0,840,112.0,94.0,12.0,70.0,51.0,9.0,31.0,83.0,68.0,27.0
229410.0,2294.1,951,202.0,60.0,37.0,52.0,43.0,43.0,24.0,72.0,78.0,45.0
229420.0,2294.2,1333,270.0,143.0,41.0,64.0,64.0,68.0,43.0,101.0,75.0,49.0
231100.0,2311.0,1508,283.0,113.0,117.0,38.0,119.0,99.0,45.0,116.0,71.0,73.0
231210.0,2312.1,672,58.0,77.0,11.0,50.0,41.0,19.0,26.0,47.0,62.0,23.0
231220.0,2312.2,2163,177.0,280.0,43.0,95.0,101.0,37.0,122.0,156.0,98.0,59.0
231301.0,2313.01,503,79.0,33.0,16.0,50.0,23.0,8.0,9.0,36.0,42.0,20.0
231302.0,2313.02,1442,144.0,137.0,43.0,84.0,93.0,41.0,66.0,158.0,104.0,39.0
231400.0,2314.0,1097,86.0,109.0,21.0,61.0,76.0,24.0,49.0,97.0,71.0,35.0
231500.0,2315.0,1666,225.0,89.0,40.0,114.0,82.0,63.0,52.0,104.0,105.0,76.0
